,,,50% Median Rents by Apartment Size,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Studio,1 Bed,2 Bed,3 Bed,4 Bed,,,,,,,,,,,,,1099
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
state,cbsasub18,areaname18,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,,state_alpha,,pop2010,hu2010,cntyname,name,,,,,,
1,NCNTY01071N01071,"Jackson County, AL",418,542,655,821,892,,AL,Alabama,53227,24786,Jackson County,Jackson County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01075N01075,"Lamar County, AL",483,523,606,854,857,,AL,Alabama,14564,7354,Lamar County,Lamar County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01087N01087,"Macon County, AL",474,477,634,911,1059,,AL,Alabama,21452,10259,Macon County,Macon County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01091N01091,"Marengo County, AL",483,498,606,881,1067,,AL,Alabama,21027,10237,Marengo County,Marengo County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01093N01093,"Marion County, AL",453,456,606,804,953,,AL,Alabama,30776,14737,Marion County,Marion County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01095N01095,"Marshall County, AL",492,495,655,889,892,,AL,Alabama,93019,40342,Marshall County,Marshall County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01099N01099,"Monroe County, AL",483,528,606,769,899,,AL,Alabama,23068,11333,Monroe County,Monroe County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01105N01105,"Perry County, AL",513,528,606,854,857,,AL,Alabama,10591,4737,Perry County,Perry County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01109N01109,"Pike County, AL",554,558,669,909,911,,AL,Alabama,32899,15267,Pike County,Pike County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01111N01111,"Randolph County, AL",435,539,682,974,1074,,AL,Alabama,22913,11982,Randolph County,Randolph County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01119N01119,"Sumter County, AL",558,562,747,937,1017,,AL,Alabama,13763,6786,Sumter County,Sumter County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01121N01121,"Talladega County, AL",494,497,661,897,922,,AL,Alabama,82291,37088,Talladega County,Talladega County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01123N01123,"Tallapoosa County, AL",540,554,638,902,1026,,AL,Alabama,41616,22111,Tallapoosa County,Tallapoosa County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01129N01129,"Washington County, AL",547,547,686,863,970,,AL,Alabama,17581,8407,Washington County,Washington County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01131N01131,"Wilcox County, AL",483,528,606,854,857,,AL,Alabama,11670,5649,Wilcox County,Wilcox County,,#REF!,#REF!,#REF!,#REF!,FALSE
1,NCNTY01133N01133,"Winston County, AL",453,456,606,881,1009,,AL,Alabama,24484,13469,Winston County,Winston County,,#REF!,#REF!,#REF!,#REF!,FALSE
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",978,1097,1417,2061,2496,,AK,Alaska,291826,113032,Anchorage Municipality,Anchorage Municipality,,#REF!,#REF!,#REF!,#REF!,FALSE
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",777,877,1167,1698,2055,,AK,Alaska,88995,41329,Matanuska-Susitna Borough,Matanuska-Susitna Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,METRO21820M21820,"Fairbanks, AK MSA",924,1089,1449,2108,2552,,AK,Alaska,97581,41783,Fairbanks North Star Borough,Fairbanks North Star Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02013N02013,"Aleutians East Borough, AK",791,964,1107,1388,1508,,AK,Alaska,3141,747,Aleutians East Borough,Aleutians East Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
